 6.30957344e+00 -1.28394222e+02  6.30957344e+00 -8.42685350e+00 
 6.45654229e+00 -1.28389829e+02  6.45654229e+00 -8.62022425e+00 
 6.60693448e+00 -1.28385233e+02  6.60693448e+00 -8.81789458e+00 
 6.76082975e+00 -1.28380426e+02  6.76082975e+00 -9.01995031e+00 
 6.91830971e+00 -1.28375398e+02  6.91830971e+00 -9.22647860e+00 
 7.07945784e+00 -1.28370139e+02  7.07945784e+00 -9.43756743e+00 
 7.24435960e+00 -1.28364640e+02  7.24435960e+00 -9.65330580e+00 
 7.41310241e+00 -1.28358888e+02  7.41310241e+00 -9.87378360e+00 
 7.58577575e+00 -1.28352874e+02  7.58577575e+00 -1.00990916e+01 
 7.76247117e+00 -1.28346585e+02  7.76247117e+00 -1.03293214e+01 
 7.94328235e+00 -1.28340009e+02  7.94328235e+00 -1.05645653e+01 
 8.12830516e+00 -1.28333135e+02  8.12830516e+00 -1.08049163e+01 
 8.31763771e+00 -1.28325948e+02  8.31763771e+00 -1.10504679e+01 
 8.51138038e+00 -1.28318435e+02  8.51138038e+00 -1.13013144e+01 
 8.70963590e+00 -1.28310581e+02  8.70963590e+00 -1.15575500e+01 
 8.91250938e+00 -1.28302373e+02  8.91250938e+00 -1.18192699e+01 
 9.12010839e+00 -1.28293795e+02  9.12010839e+00 -1.20865690e+01 
 9.33254301e+00 -1.28284830e+02  9.33254301e+00 -1.23595424e+01 
 9.54992586e+00 -1.28275463e+02  9.54992586e+00 -1.26382852e+01 
 9.77237221e+00 -1.28265676e+02  9.77237221e+00 -1.29228927e+01 
 1.00000000e+01 -1.28255451e+02  1.00000000e+01 -1.32134592e+01 
 1.02329299e+01 -1.28244770e+02  1.02329299e+01 -1.35100792e+01 
 1.04712855e+01 -1.28233614e+02  1.04712855e+01 -1.38128463e+01 
 1.07151931e+01 -1.28221963e+02  1.07151931e+01 -1.41218534e+01 
 1.09647820e+01 -1.28209796e+02  1.09647820e+01 -1.44371922e+01 
 1.12201845e+01 -1.28197091e+02  1.12201845e+01 -1.47589537e+01 
 1.14815362e+01 -1.28183828e+02  1.14815362e+01 -1.50872272e+01 
 1.17489755e+01 -1.28169984e+02  1.17489755e+01 -1.54221005e+01 
 1.20226443e+01 -1.28155533e+02  1.20226443e+01 -1.57636596e+01 
 1.23026877e+01 -1.28140454e+02  1.23026877e+01 -1.61119885e+01 
 1.25892541e+01 -1.28124719e+02  1.25892541e+01 -1.64671687e+01 
 1.28824955e+01 -1.28108304e+02  1.28824955e+01 -1.68292794e+01 
 1.31825674e+01 -1.28091181e+02  1.31825674e+01 -1.71983969e+01 
 1.34896288e+01 -1.28073323e+02  1.34896288e+01 -1.75745944e+01 
 1.38038426e+01 -1.28054702e+02  1.38038426e+01 -1.79579413e+01 
 1.41253754e+01 -1.28035289e+02  1.41253754e+01 -1.83485036e+01 
 1.44543977e+01 -1.28015054e+02  1.44543977e+01 -1.87463432e+01 
 1.47910839e+01 -1.27993965e+02  1.47910839e+01 -1.91515176e+01 
 1.51356125e+01 -1.27971992e+02  1.51356125e+01 -1.95640794e+01 
 1.54881662e+01 -1.27949101e+02  1.54881662e+01 -1.99840763e+01 
 1.58489319e+01 -1.27925261e+02  1.58489319e+01 -2.04115502e+01 
